Name,State,Control,Region,Enrollment
Hebrew College,MA,Private,Northeast,1
LIU Brentwood,NY,Private,Northeast,1
Marlboro College Graduate & Professional Studies,VT,Private,Northeast,1
East-West University,WI,Private,Midwest,7
Pacific States University,CA,Private,West,8
Middlebury Institute of International Studies at Monterey,CA,Private,West,13
University of Western States,OR,Private,West,14
America Evangelical University,CA,Private,West,14
California Christian College,CA,Private,West,16
American Islamic College,IL,Private,Midwest,16
Horizon University,IN,Private,Midwest,16
Touro University Nevada,NV,Private,West,18
Mid-South Christian College,TN,Private,Southeast,19
Yeshiva Gedolah Zichron Leyma,NJ,Private,Northeast,21
Austin Graduate School of Theology,TX,Private,West,22
Saint John's Seminary,MA,Private,Northeast,23
Yeshivah Gedolah Rabbinical College,FL,Private,Southeast,24
Yeshiva Zichron Aryeh,NY,Private,Northeast,24
Summit Christian College,NE,Private,Midwest,25
Yeshiva College of the Nations Capital,MD,Private,Northeast,25
LIU Riverhead,NY,Private,Northeast,28
Louisiana State University Health Sciences Center-Shreveport,LA,Public,Southeast,28
Alaska Bible College,AK,Private,West,31
Talmudic College of Florida,FL,Private,Southeast,31
Carolina Christian College,NC,Private,Southeast,32
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,NY,Private,Northeast,33
Tri-State Bible College,OH,Private,Midwest,33
Yeshivath Beth Moshe,PA,Private,Northeast,34
Maple Springs Baptist Bible College and Seminary,MD,Private,Northeast,36
Rabbinical College Telshe,OH,Private,Midwest,37
San Juan Bautista School of Medicine,PR,Private,Territory,37
Bais Medrash Elyon,NY,Private,Northeast,38
Family of Faith Christian University,OK,Private,West,38
Cleveland University-Kansas City,KS,Private,Midwest,39
Bethel College,VA,Private,Southeast,39
Yeshiva Gedola Ohr Yisrael,NY,Private,Northeast,39
Central Yeshiva Beth Joseph,NY,Private,Northeast,40
Mechon L'hoyroa,NY,Private,Northeast,40
Palmer College of Chiropractic,IA,Private,Midwest,41
Antioch University-Midwest,OH,Private,Midwest,41
Presbyterian Theological Seminary in America,CA,Private,West,41
Shasta Bible College and Graduate School,CA,Private,West,42
Heritage Bible College,NC,Private,Southeast,42
Northwestern Health Sciences University,MN,Private,Midwest,43
Atlantic Institute of Oriental Medicine,FL,Private,Southeast,43
Williamson Christian College,TN,Private,Southeast,43
Yeshivas Be'er Yitzchok,NJ,Private,Northeast,43
Yeshiva Bais Aharon,NJ,Private,Northeast,44
Gratz College,PA,Private,Northeast,47
Beth Medrash of Asbury Park,NJ,Private,Northeast,47
Kenrick Glennon Seminary,MO,Private,Midwest,48
Mesivtha Tifereth Jerusalem of America,NY,Private,Northeast,49
California Institute of Integral Studies,CA,Private,West,50
Southern California Seminary,CA,Private,West,51
Messenger College,TX,Private,West,51
South Baylo University,CA,Private,West,53
Mount Angel Seminary,OR,Private,West,53
Pacific Islands University,GU,Private,Territory,53
Bais Medrash Mayan Hatorah,NJ,Private,Northeast,53
Beth Hamedrash Shaarei Yosher Institute,NY,Private,Northeast,54
Birthingway College of Midwifery,OR,Private,West,54
Saint John Vianney College Seminary,FL,Private,Southeast,56
Heritage Christian University,AL,Private,Southeast,59
Talmudical Academy-New Jersey,NJ,Private,Northeast,60
Yeshiva Gedolah of Greater Detroit,MI,Private,Midwest,60
National University of Health Sciences,IL,Private,Midwest,61
Polytechnic University of Puerto Rico-Miami,FL,Private,Southeast,61
California Jazz Conservatory,CA,Private,West,61
International Baptist College and Seminary,AZ,Private,West,62
American Jewish University,CA,Private,West,63
Boston Baptist College,MA,Private,Northeast,63
Catholic Distance University,WV,Private,Southeast,64
Telshe Yeshiva-Chicago,IL,Private,Midwest,65
Divine Word College,IA,Private,Midwest,65
Charlotte Christian College and Theological Seminary,NC,Private,Southeast,65
Yeshiva Yesodei Hatorah,NJ,Private,Northeast,65
